origen,destino,costo,FECHA HORA salida,Fecha hora llegada
CXH,YWH,346,01/10/2016 03:50:00,01/10/2016 06:14:00
CXH,YWH,851,01/10/2016 08:17:00,01/10/2016 17:53:00
CXH,YWH,179,01/10/2016 20:10:00,01/10/2016 22:34:00
CXH,YWH,406,01/10/2016 23:09:00,02/10/2016 11:09:00
CXH,YWH,136,01/10/2016 23:19:00,02/10/2016 06:31:00
CXH,YWH,936,02/10/2016 14:47:00,03/10/2016 02:47:00
CXH,YWH,959,02/10/2016 23:35:00,03/10/2016 11:35:00
CXH,YWH,648,03/10/2016 12:44:00,03/10/2016 15:08:00
CXH,YWH,631,03/10/2016 21:24:00,04/10/2016 02:12:00
CXH,YWH,358,04/10/2016 02:31:00,04/10/2016 21:43:00
CXH,YWH,303,04/10/2016 20:56:00,05/10/2016 13:44:00
YAB,YFB,1000,01/10/2016 11:16:00,02/10/2016 01:40:00
YAB,YFB,929,01/10/2016 11:48:00,01/10/2016 21:24:00
YAB,YFB,932,01/10/2016 16:44:00,02/10/2016 09:32:00
YAB,YFB,547,02/10/2016 01:44:00,02/10/2016 11:20:00
YAB,YFB,739,02/10/2016 15:58:00,02/10/2016 23:10:00
YAB,YFB,612,03/10/2016 07:06:00,03/10/2016 19:06:00
YAB,YFB,412,03/10/2016 14:01:00,03/10/2016 18:49:00
YAB,YFB,680,03/10/2016 14:03:00,04/10/2016 02:03:00
YAB,YFB,210,04/10/2016 01:02:00,04/10/2016 15:26:00
YAB,YFB,947,04/10/2016 15:25:00,05/10/2016 03:25:00
YAB,YFB,534,04/10/2016 19:29:00,05/10/2016 07:29:00
YAB,YRB,811,01/10/2016 15:03:00,01/10/2016 19:51:00
YAB,YRB,950,01/10/2016 19:01:00,02/10/2016 07:01:00
YAB,YRB,487,02/10/2016 01:26:00,02/10/2016 15:50:00
YAB,YRB,707,02/10/2016 03:17:00,02/10/2016 05:41:00
YAB,YRB,221,02/10/2016 06:17:00,02/10/2016 11:05:00
YAB,YRB,425,02/10/2016 06:36:00,03/10/2016 01:48:00
YAB,YRB,537,03/10/2016 00:36:00,03/10/2016 07:48:00
YAB,YRB,647,03/10/2016 06:26:00,03/10/2016 08:50:00
YAB,YRB,483,03/10/2016 15:01:00,04/10/2016 07:49:00
YAB,YRB,210,04/10/2016 07:02:00,04/10/2016 16:38:00
YAB,YRB,355,04/10/2016 21:29:00,04/10/2016 23:53:00
YAM,YQT,206,01/10/2016 14:25:00,01/10/2016 19:13:00
YAM,YQT,776,01/10/2016 15:18:00,02/10/2016 03:18:00
YAM,YQT,702,02/10/2016 03:16:00,02/10/2016 05:40:00
YAM,YQT,805,02/10/2016 06:54:00,02/10/2016 18:54:00
YAM,YQT,417,02/10/2016 15:44:00,02/10/2016 20:32:00
YAM,YQT,388,03/10/2016 22:09:00,04/10/2016 07:45:00
YAM,YQT,233,04/10/2016 01:50:00,04/10/2016 11:26:00
YAM,YQT,778,04/10/2016 09:11:00,04/10/2016 11:35:00
YAM,YQT,841,04/10/2016 11:15:00,04/10/2016 23:15:00
YAM,YQT,650,04/10/2016 12:30:00,05/10/2016 00:30:00
YAM,YQT,595,04/10/2016 12:39:00,04/10/2016 15:03:00
YAM,YSB,973,01/10/2016 15:40:00,02/10/2016 06:04:00
YAM,YSB,785,01/10/2016 19:31:00,02/10/2016 14:43:00
YAM,YSB,786,02/10/2016 05:24:00,02/10/2016 07:48:00
YAM,YSB,594,02/10/2016 12:15:00,02/10/2016 19:27:00
YAM,YSB,518,02/10/2016 14:05:00,03/10/2016 02:05:00
YAM,YSB,891,03/10/2016 01:13:00,03/10/2016 08:25:00
YAM,YSB,739,03/10/2016 07:08:00,03/10/2016 11:56:00
YAM,YSB,246,03/10/2016 14:44:00,03/10/2016 19:32:00
YAM,YSB,683,03/10/2016 20:13:00,04/10/2016 15:25:00
YAM,YSB,154,04/10/2016 06:27:00,04/10/2016 13:39:00
YAM,YSB,824,04/10/2016 10:40:00,05/10/2016 01:04:00
YAM,YTZ,510,01/10/2016 15:44:00,02/10/2016 01:20:00
YAM,YTZ,232,02/10/2016 03:32:00,02/10/2016 20:20:00
YAM,YTZ,992,02/10/2016 06:08:00,02/10/2016 08:32:00
YAM,YTZ,419,02/10/2016 11:18:00,03/10/2016 04:06:00
YAM,YTZ,619,02/10/2016 11:41:00,02/10/2016 18:53:00
YAM,YTZ,510,03/10/2016 09:55:00,04/10/2016 05:07:00
YAM,YTZ,929,03/10/2016 14:09:00,03/10/2016 23:45:00
YAM,YTZ,687,03/10/2016 16:47:00,03/10/2016 19:11:00
YAM,YTZ,391,03/10/2016 20:40:00,04/10/2016 15:52:00
YAM,YTZ,988,03/10/2016 22:01:00,04/10/2016 17:13:00
YAM,YTZ,650,04/10/2016 08:10:00,05/10/2016 00:58:00
YAM,YYZ,557,01/10/2016 03:16:00,01/10/2016 10:28:00
